ObjectID,Title,Object Name,Date,Period,Dynasty,Reign,Medium,Dimensions,Culture,Country,Region,City,Subjects,Artist Name,Artist Role(s),Artist Nationality,Artist Date of Birth,Artist Date of Death,Artist Gender,department,classification,artistDisplayBio,isHighlight,isPublicDomain,objectURL,primaryImage,additionalImages_count,objectWikidata_URL,artistWikidata_URL,artistULAN_URL
403502,"Charles E. ""Charlie"" Hoover, Catcher, Kansas City Cowboys, from the Old Judge series (N172) for Old Judge Cigarettes","Baseball card, photograph",1888,,,,Albumen photograph,sheet: 2 11/16 x 1 3/8 in. (6.9 x 3.5 cm),,,,,Men|Portraits|Baseball|Athletes,Goodwin & Company,Publisher,,1850,1950,,Drawings and Prints,Photographs,,False,True,https://www.metmuseum.org/art/collection/search/403502,https://images.metmuseum.org/CRDImages/dp/original/DP845848.jpg,0,,https://www.wikidata.org/wiki/Q5583666,(not assigned)
665783,Les Singuliers et Nouveaux Portraicts... page 54 (recto),Books Prints Ornament & Architecture,1588,,,,Woodcut,Overall: 8 1/16 x 6 5/16 in. (20.5 x 16 cm),,,,,Birds|Ornament|Putti,Federico de Vinciolo,Designer,Italian,1582,1599,,Drawings and Prints,Books,"Italian, active Paris, ca. 1587–99",False,True,https://www.metmuseum.org/art/collection/search/665783,https://images.metmuseum.org/CRDImages/dp/original/DP364058.jpg,0,,https://www.wikidata.org/wiki/Q5441081,(not assigned)
680198,"Ein new getruckt model Büchli...Page 11, recto",Books Prints Ornament & Architecture,1529,,,,Woodcut,Overall: 7 7/8 x 6 1/8 in. (20 x 15.5 cm),,,,,Ornament,Johann Schönsperger the Younger,Publisher,German,1490,1550,,Drawings and Prints,Books,"German, active 1510–30",False,True,https://www.metmuseum.org/art/collection/search/680198,https://images.metmuseum.org/CRDImages/dp/original/DP361041.jpg,0,,,
681348,Spring,Print,1829,,,,Mezzotint; proof before published state,"Image: 5 in. × 9 11/16 in. (12.7 × 24.6 cm)
Plate: 6 1/8 × 10 1/8 in. (15.6 × 25.7 cm)
Sheet: 10 1/2 × 15 7/8 in. (26.7 × 40.3 cm)",,,,,Windmills|Horses|Landscapes|Spring|Farmers,David Lucas,Artist,British,1802,1881,,Drawings and Prints,Prints,"British, Geddington Chase, Northamptonshire 1802–1881 London",False,True,https://www.metmuseum.org/art/collection/search/681348,https://images.metmuseum.org/CRDImages/dp/original/DP874909.jpg,0,,https://www.wikidata.org/wiki/Q18508114,http://vocab.getty.edu/page/ulan/500003709
397851,The Curate and Barber Disguising Themselves to Convey Don Quixote Home (Six Illustrations for Don Quixote),Print,1756 or after,,,,Etching and engraving; third state of three,sheet: 9 5/8 x 6 11/16 in. (24.5 x 17 cm),,,,,Men|Women|Dressing|Don Quixote,William Hogarth,Artist,British,1697,1764,,Drawings and Prints,Prints,"British, London 1697–1764 London",False,True,https://www.metmuseum.org/art/collection/search/397851,https://images.metmuseum.org/CRDImages/dp/original/DP824971.jpg,0,,https://www.wikidata.org/wiki/Q171344,http://vocab.getty.edu/page/ulan/500004242
661925,"Corona delle Nobili et Virtuose Donne: Libro I-IV, page 78 (recto)",Books Prints Ornament & Architecture,1601,,,,Woodcut,Overall: 5 1/2 x 7 11/16 in. (14 x 19.5 cm),,Italy,,Venice,Birds|Cupid|Dogs,Cesare Vecellio,Publisher,Italian,1521,1601,,Drawings and Prints,Books,"Italian, Pieve di Cadore 1521–1601 Venice",False,True,https://www.metmuseum.org/art/collection/search/661925,https://images.metmuseum.org/CRDImages/dp/original/DP353725.jpg,0,,https://www.wikidata.org/wiki/Q549400,http://vocab.getty.edu/page/ulan/500018010
710262,"Actress holding arm aloft, from the Actresses series (N664) promoting Old Fashion Fine Cut Tobacco",Photograph,1888–90,,,,Albumen photograph,Sheet: 3 3/8 in. × 2 in. (8.5 × 5.1 cm),,,,,Portraits|Women|Actresses,,,,,,,Drawings and Prints,Photographs,,False,True,https://www.metmuseum.org/art/collection/search/710262,https://images.metmuseum.org/CRDImages/dp/original/DPB869707.jpg,0,,,
360751,"Bust of a deformed old woman with one tooth, facing left",Print,1665,,,,Etching; only state,Plate: 2 5/8 × 1 7/8 in. (6.7 × 4.8 cm) cut on platemark,,,,,Profiles|Women,Wenceslaus Hollar,Artist,Bohemian,1607,1677,,Drawings and Prints,Prints,"Bohemian, Prague 1607–1677 London",False,True,https://www.metmuseum.org/art/collection/search/360751,https://images.metmuseum.org/CRDImages/dp/original/DP823706.jpg,0,,https://www.wikidata.org/wiki/Q448555,http://vocab.getty.edu/page/ulan/500028368
389421,Right Half of Wall Monument Design with Urn Above,Drawing,17th century,,,,"Pen and brown ink, brush and brown wash",sheet: 10 11/16 x 3 1/4 in. (27.2 x 8.3 cm),,,,,Architecture|Columns,"Anonymous, Italian, 17th century",Artist,Italian,1600,1700,,Drawings and Prints,Drawings,,False,True,https://www.metmuseum.org/art/collection/search/389421,https://images.metmuseum.org/CRDImages/dp/original/DP802690.jpg,0,,,
338595,"Figure Studies: The Holy Family, a Running or Dancing Child, Drapery Studies",Drawing,1565–1608,,,,"Pen and brown ink, brush and pale violet wash.",7 3/8 x 10 5/8in. (18.8 x 27cm),,,,,Children|Women|Holy Family,Francesco Curia,Artist,Italian,1565,1608,,Drawings and Prints,Drawings,"Italian, documented Naples 1565/70–1608 Naples",False,True,https://www.metmuseum.org/art/collection/search/338595,https://images.metmuseum.org/CRDImages/dp/original/1970.101.9.jpg,1,,https://www.wikidata.org/wiki/Q3080948,http://vocab.getty.edu/page/ulan/500010045
